team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance,point_diff_avg_a,point_diff_avg_b,home_points_avg,away_points_avg
BAR,ULK,10.0,5.0,15.0,1.0,,,,
BAR,UNK,5.0,0.0,5.0,1.0,,,,
BAR,VIR,1.0,1.0,2.0,0.0,,,,
BAR,ZAL,13.0,2.0,15.0,1.0,,,,
BAR,ZGO,1.0,0.0,1.0,1.0,,,,
BAS,ARI,1.0,0.0,1.0,1.0,,,,
BAS,ASV,4.0,1.0,5.0,1.0,,,,
BAS,BAM,3.0,0.0,3.0,1.0,,,,
BAS,BAR,7.0,6.0,13.0,1.0,,,,
BAS,BAS,,,,,5.683760683760684,-3.370212765957447,82.54700854700855,78.93617021276596
BAS,BER,5.0,1.0,6.0,1.0,,,,
BAS,BES,1.0,0.0,1.0,1.0,,,,
BAS,BIL,0.0,1.0,1.0,0.0,,,,
BAS,BUD,1.0,0.0,1.0,1.0,,,,
BAS,CAN,1.0,0.0,1.0,1.0,,,,
BAS,CED,2.0,0.0,2.0,1.0,,,,
BAS,CIB,1.0,0.0,1.0,1.0,,,,
BAS,CSK,7.0,11.0,18.0,0.0,,,,
BAS,CTU,1.0,0.0,1.0,1.0,,,,
BAS,DAR,2.0,0.0,2.0,1.0,,,,
BAS,DYR,1.0,2.0,3.0,0.0,,,,
BAS,GAL,2.0,0.0,2.0,1.0,,,,
BAS,IST,4.0,8.0,12.0,0.0,,,,
BAS,JOV,1.0,0.0,1.0,1.0,,,,
BAS,KHI,6.0,2.0,8.0,1.0,,,,
BAS,KLA,1.0,0.0,1.0,1.0,,,,
BAS,LIE,2.0,1.0,3.0,1.0,,,,
BAS,LJU,3.0,0.0,3.0,1.0,,,,
BAS,LMG,1.0,0.0,1.0,1.0,,,,
BAS,MAD,5.0,5.0,10.0,0.0,,,,
BAS,MAL,3.0,1.0,4.0,1.0,,,,
BAS,MAR,1.0,0.0,1.0,1.0,,,,
BAS,MCO,1.0,2.0,3.0,0.0,,,,
BAS,MIL,9.0,3.0,12.0,1.0,,,,
BAS,MUN,4.0,2.0,6.0,1.0,,,,
BAS,NAN,1.0,0.0,1.0,1.0,,,,
BAS,NOV,1.0,0.0,1.0,1.0,,,,
BAS,OLY,10.0,9.0,19.0,1.0,,,,
BAS,PAM,3.0,2.0,5.0,1.0,,,,
BAS,PAN,10.0,2.0,12.0,1.0,,,,
BAS,PAR,5.0,0.0,5.0,1.0,,,,
BAS,RED,6.0,3.0,9.0,1.0,,,,
BAS,ROM,1.0,1.0,2.0,0.0,,,,
BAS,SIE,2.0,0.0,2.0,1.0,,,,
BAS,SOP,2.0,1.0,3.0,1.0,,,,
BAS,TEL,9.0,5.0,14.0,1.0,,,,
BAS,TIV,1.0,1.0,2.0,0.0,,,,
BAS,ULK,12.0,4.0,16.0,1.0,,,,
BAS,UNK,1.0,0.0,1.0,1.0,,,,
BAS,VIR,3.0,1.0,4.0,1.0,,,,
BAS,ZAL,7.0,5.0,12.0,1.0,,,,
BER,ASV,2.0,2.0,4.0,0.0,,,,
BER,BAM,1.0,0.0,1.0,1.0,,,,
BER,BAR,2.0,5.0,7.0,0.0,,,,
BER,BAS,3.0,3.0,6.0,0.0,,,,
BER,BER,,,,,-2.6106194690265485,-7.843478260869565,76.69911504424779,76.52173913043478
BER,CED,0.0,1.0,1.0,0.0,,,,
BER,CHL,1.0,0.0,1.0,1.0,,,,
BER,CSK,0.0,5.0,5.0,0.0,,,,
BER,DYR,2.0,1.0,3.0,1.0,,,,
BER,GAL,1.0,0.0,1.0,1.0,,,,
BER,IST,1.0,5.0,6.0,0.0,,,,
BER,JOV,1.0,0.0,1.0,1.0,,,,
BER,KHI,1.0,0.0,1.0,1.0,,,,
BER,LJU,0.0,1.0,1.0,0.0,,,,
BER,LMG,1.0,0.0,1.0,1.0,,,,
BER,MAD,0.0,8.0,8.0,0.0,,,,
BER,MAL,1.0,2.0,3.0,0.0,,,,
BER,MCO,1.0,2.0,3.0,0.0,,,,
BER,MIL,3.0,2.0,5.0,1.0,,,,
BER,MUN,0.0,5.0,5.0,0.0,,,,
BER,OLY,1.0,4.0,5.0,0.0,,,,
BER,PAM,0.0,3.0,3.0,0.0,,,,
BER,PAN,3.0,3.0,6.0,0.0,,,,
BER,PAR,1.0,1.0,2.0,0.0,,,,
BER,RED,5.0,1.0,6.0,1.0,,,,
BER,ROM,1.0,0.0,1.0,1.0,,,,
BER,SIE,0.0,1.0,1.0,0.0,,,,
BER,SOP,1.0,0.0,1.0,1.0,,,,
BER,TEL,1.0,8.0,9.0,0.0,,,,
BER,ULK,3.0,3.0,6.0,0.0,,,,
BER,UNK,1.0,0.0,1.0,1.0,,,,
BER,VIR,0.0,2.0,2.0,0.0,,,,
BER,ZAL,5.0,2.0,7.0,1.0,,,,
BES,BAM,1.0,0.0,1.0,1.0,,,,
BES,BAR,0.0,2.0,2.0,0.0,,,,
BES,BAS,0.0,1.0,1.0,0.0,,,,
BES,BES,,,,,-7.5,-14.25,67.5,65.16666666666667
BES,CSK,0.0,1.0,1.0,0.0,,,,
BES,KHI,0.0,1.0,1.0,0.0,,,,
BES,LIE,1.0,0.0,1.0,1.0,,,,
BES,OLY,0.0,1.0,1.0,0.0,,,,
BES,PAR,1.0,0.0,1.0,1.0,,,,
BES,SIE,1.0,0.0,1.0,1.0,,,,
BES,TEL,0.0,1.0,1.0,0.0,,,,
