season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2023_P011981_IST,E2023,P011981,"JONES, TYRIQUE",IST,34.0,8.0,596.2,246,104,164,0,0,38,57,67,80,147,33,27,29,13,11,90,66,323,-20,17.54,7.24,3.06,4.82,0.634,0.0,0.0,0.0,1.12,1.68,0.667,1.97,2.35,4.32,0.97,0.79,0.85,0.38,0.32,2.65,1.94,9.5,-0.59
E2023_P004863_PAM,E2023,P004863,"JOVIC, STEFAN",PAM,27.0,4.0,458.0,133,43,66,10,33,17,28,9,43,52,77,25,31,1,4,45,39,190,103,16.96,4.93,1.59,2.44,0.652,0.37,1.22,0.303,0.63,1.04,0.607,0.33,1.59,1.93,2.85,0.93,1.15,0.04,0.15,1.67,1.44,7.04,3.81
E2023_PKIR_ASV,E2023,PKIR,"KAHUDI, CHARLES",ASV,29.0,5.0,501.6,113,33,77,10,41,17,22,19,64,83,24,4,13,0,9,45,40,117,21,17.3,3.9,1.14,2.66,0.429,0.34,1.41,0.244,0.59,0.76,0.773,0.66,2.21,2.86,0.83,0.14,0.45,0.0,0.31,1.55,1.38,4.03,0.72
E2023_P011209_PAN,E2023,P011209,"KALAITZAKIS, PANAGIOTIS",PAN,30.0,0.0,178.2,63,20,29,5,20,8,8,8,18,26,7,7,5,1,0,24,11,62,35,5.94,2.1,0.67,0.97,0.69,0.17,0.67,0.25,0.27,0.27,1.0,0.27,0.6,0.87,0.23,0.23,0.17,0.03,0.0,0.8,0.37,2.07,1.17
E2023_P004866_BAR,E2023,P004866,"KALINIC, NIKOLA",BAR,39.0,38.0,958.6,286,56,124,52,128,18,31,34,113,147,92,31,53,3,10,68,52,323,165,24.58,7.33,1.44,3.18,0.452,1.33,3.28,0.406,0.46,0.79,0.581,0.87,2.9,3.77,2.36,0.79,1.36,0.08,0.26,1.74,1.33,8.28,4.23
E2023_P011926_MIL,E2023,P011926,"KAMAGATE, ISMAEL",MIL,9.0,1.0,23.6,10,5,9,0,0,0,2,0,2,2,1,0,2,0,0,4,5,6,-13,2.63,1.11,0.56,1.0,0.556,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.22,0.11,0.0,0.22,0.0,0.0,0.44,0.56,0.67,-1.44
E2023_P012743_PAR,E2023,P012743,"KAMINSKY, FRANK",PAR,30.0,17.0,516.4,267,77,122,26,64,35,53,33,69,102,48,12,21,7,6,74,50,284,43,17.21,8.9,2.57,4.07,0.631,0.87,2.13,0.406,1.17,1.77,0.66,1.1,2.3,3.4,1.6,0.4,0.7,0.23,0.2,2.47,1.67,9.47,1.43
E2023_P012123_MUN,E2023,P012123,"KHARCHENKOV, IVAN",MUN,4.0,0.0,35.1,8,2,5,1,8,1,2,2,2,4,3,1,1,0,2,5,4,1,12,8.77,2.0,0.5,1.25,0.4,0.25,2.0,0.125,0.25,0.5,0.5,0.5,0.5,1.0,0.75,0.25,0.25,0.0,0.5,1.25,1.0,0.25,3.0
E2023_P011050_PAR,E2023,P011050,"KOPRIVICA, BALSA",PAR,14.0,2.0,115.7,46,20,24,0,0,6,6,9,15,24,4,3,9,8,0,25,7,54,-9,8.26,3.29,1.43,1.71,0.833,0.0,0.0,0.0,0.43,0.43,1.0,0.64,1.07,1.71,0.29,0.21,0.64,0.57,0.0,1.79,0.5,3.86,-0.64
E2023_P004603_BAS,E2023,P004603,"KOTSAR, MAIK",BAS,39.0,29.0,705.4,220,87,168,0,0,46,67,56,74,130,48,26,29,12,19,61,81,306,-48,18.09,5.64,2.23,4.31,0.518,0.0,0.0,0.0,1.18,1.72,0.687,1.44,1.9,3.33,1.23,0.67,0.74,0.31,0.49,1.56,2.08,7.85,-1.23
